sp|A9BNJ1|ACPS_DELAS	K00997
tr|A9BQH7|A9BQH7_DELAS	K06878
tr|A9BQH8|A9BQH8_DELAS
tr|A9BQI0|A9BQI0_DELAS
tr|A9BQI4|A9BQI4_DELAS
tr|A9BQI6|A9BQI6_DELAS
tr|A9BQJ2|A9BQJ2_DELAS	K03501
tr|A9BQJ5|A9BQJ5_DELAS	K07002
tr|A9BQJ6|A9BQJ6_DELAS	K03497
tr|A9BQJ9|A9BQJ9_DELAS
tr|A9BQK2|A9BQK2_DELAS	K03088
tr|A9BQK9|A9BQK9_DELAS	K00102
tr|A9BQM1|A9BQM1_DELAS	K04110
tr|A9BQM6|A9BQM6_DELAS	K01996
tr|A9BQN3|A9BQN3_DELAS
tr|A9BQP4|A9BQP4_DELAS	K00135
tr|A9BQP7|A9BQP7_DELAS
tr|A9BQP9|A9BQP9_DELAS
tr|A9BQQ1|A9BQQ1_DELAS	K05921
tr|A9BQQ4|A9BQQ4_DELAS
tr|A9BQQ5|A9BQQ5_DELAS
tr|A9BQQ6|A9BQQ6_DELAS
tr|A9BQQ9|A9BQQ9_DELAS
tr|A9BQR1|A9BQR1_DELAS
tr|A9BQS0|A9BQS0_DELAS	K02004
tr|A9BQT1|A9BQT1_DELAS
tr|A9BQU9|A9BQU9_DELAS	K07058
tr|A9BQV7|A9BQV7_DELAS	K00046
tr|A9BQW6|A9BQW6_DELAS
tr|A9BQX0|A9BQX0_DELAS	K00459
tr|A9BQX7|A9BQX7_DELAS
tr|A9BQY3|A9BQY3_DELAS	K02510
tr|A9BQZ4|A9BQZ4_DELAS	K03320
tr|A9BQZ6|A9BQZ6_DELAS
tr|A9BR04|A9BR04_DELAS
tr|A9BR15|A9BR15_DELAS
tr|A9BR23|A9BR23_DELAS
tr|A9BR24|A9BR24_DELAS	K00128
tr|A9BR29|A9BR29_DELAS	K00325
tr|A9BR33|A9BR33_DELAS	K00117
tr|A9BR35|A9BR35_DELAS
tr|A9BR38|A9BR38_DELAS	K00058
tr|A9BR41|A9BR41_DELAS
tr|A9BR43|A9BR43_DELAS
tr|A9BW35|A9BW35_DELAS
tr|A9BW38|A9BW38_DELAS
tr|A9BW43|A9BW43_DELAS
tr|A9BW47|A9BW47_DELAS
tr|A9BW55|A9BW55_DELAS
tr|A9BW56|A9BW56_DELAS
tr|A9BW62|A9BW62_DELAS
tr|A9BW74|A9BW74_DELAS
tr|A9BW78|A9BW78_DELAS
tr|A9BW84|A9BW84_DELAS
tr|A9BW87|A9BW87_DELAS	K02836
tr|A9BWA3|A9BWA3_DELAS	K02380
tr|A9BWC2|A9BWC2_DELAS
tr|A9BWC4|A9BWC4_DELAS	K00598
tr|A9BWC8|A9BWC8_DELAS
tr|A9BWD1|A9BWD1_DELAS
tr|A9BWD2|A9BWD2_DELAS
tr|A9BWF0|A9BWF0_DELAS	K14287
tr|A9BWF6|A9BWF6_DELAS	K02339
tr|A9BWG9|A9BWG9_DELAS
tr|A9BWH0|A9BWH0_DELAS
tr|A9BWH2|A9BWH2_DELAS
tr|A9BWI6|A9BWI6_DELAS	K03561
tr|A9BWJ7|A9BWJ7_DELAS
tr|A9BWJ9|A9BWJ9_DELAS	K17989
tr|A9BWK2|A9BWK2_DELAS
tr|A9BWK5|A9BWK5_DELAS
tr|A9BWL3|A9BWL3_DELAS	K06145
tr|A9BWL4|A9BWL4_DELAS
tr|A9BWM3|A9BWM3_DELAS
tr|A9BWM6|A9BWM6_DELAS	K08994
tr|A9C1V7|A9C1V7_DELAS	K01676
tr|A9C1V9|A9C1V9_DELAS
tr|A9C1W0|A9C1W0_DELAS	K07552
tr|A9C1W6|A9C1W6_DELAS	K02768
tr|A9C1W6|A9C1W6_DELAS	K08483
tr|A9C1W6|A9C1W6_DELAS	K11183
tr|A9C1X6|A9C1X6_DELAS	K13894
tr|A9C1X9|A9C1X9_DELAS	K03098
tr|A9C1Z7|A9C1Z7_DELAS
tr|A9C2J1|A9C2J1_DELAS	K00818
tr|A9C2J5|A9C2J5_DELAS	K00600
tr|A9C2K0|A9C2K0_DELAS	K03746
tr|A9C2K7|A9C2K7_DELAS
tr|A9C2L9|A9C2L9_DELAS
tr|A9C2P0|A9C2P0_DELAS	K18828
tr|A9C2P3|A9C2P3_DELAS	K06145
tr|A9BNS5|A9BNS5_DELAS
tr|A9BR52|A9BR52_DELAS
tr|A9BR54|A9BR54_DELAS
tr|A9BR56|A9BR56_DELAS
tr|A9BR59|A9BR59_DELAS
tr|A9BR67|A9BR67_DELAS	K01534
tr|A9BR71|A9BR71_DELAS	K00520
tr|A9BR88|A9BR88_DELAS	K18138
tr|A9BRB3|A9BRB3_DELAS	K09796
tr|A9BRE0|A9BRE0_DELAS	K03407
tr|A9BRE2|A9BRE2_DELAS	K00575
tr|A9BRE4|A9BRE4_DELAS	K03412
tr|A9BRE6|A9BRE6_DELAS
tr|A9BRE7|A9BRE7_DELAS
tr|A9BRE9|A9BRE9_DELAS
tr|A9BRF8|A9BRF8_DELAS	K06861
tr|A9BRG7|A9BRG7_DELAS	K01750
tr|A9BRG9|A9BRG9_DELAS
tr|A9BRL4|A9BRL4_DELAS
tr|A9BRS8|A9BRS8_DELAS	K01923
tr|A9BRU3|A9BRU3_DELAS	K04047
tr|A9BS08|A9BS08_DELAS
tr|A9BS29|A9BS29_DELAS	K13795
tr|A9BS49|A9BS49_DELAS	K02612
tr|A9BS66|A9BS66_DELAS
tr|A9BS80|A9BS80_DELAS
tr|A9BSC7|A9BSC7_DELAS	K01961
tr|A9BSD0|A9BSD0_DELAS
tr|A9BSF5|A9BSF5_DELAS
tr|A9BSI1|A9BSI1_DELAS
tr|A9BTV4|A9BTV4_DELAS
tr|A9BTZ9|A9BTZ9_DELAS
tr|A9BWN4|A9BWN4_DELAS
tr|A9BWN6|A9BWN6_DELAS
tr|A9BWN9|A9BWN9_DELAS
tr|A9BWP8|A9BWP8_DELAS	K00275
tr|A9BWP9|A9BWP9_DELAS	K07088
tr|A9BWQ0|A9BWQ0_DELAS	K06911
tr|A9BWQ7|A9BWQ7_DELAS
tr|A9BWR3|A9BWR3_DELAS	K07666
tr|A9BWR8|A9BWR8_DELAS	K01840
tr|A9BWS5|A9BWS5_DELAS	K11209
tr|A9BWT8|A9BWT8_DELAS	K01414
tr|A9BWU0|A9BWU0_DELAS
tr|A9BWU6|A9BWU6_DELAS
tr|A9BWV4|A9BWV4_DELAS	K00145
tr|A9BWW0|A9BWW0_DELAS
tr|A9BWW6|A9BWW6_DELAS
tr|A9BWX3|A9BWX3_DELAS	K02437
tr|A9BWY5|A9BWY5_DELAS	K01971
tr|A9BWZ7|A9BWZ7_DELAS
tr|A9BX00|A9BX00_DELAS
tr|A9BX08|A9BX08_DELAS
tr|A9BX13|A9BX13_DELAS
tr|A9BX14|A9BX14_DELAS	K09136
tr|A9BX25|A9BX25_DELAS
tr|A9BX29|A9BX29_DELAS
tr|A9BXV2|A9BXV2_DELAS	K02015
tr|A9BYC5|A9BYC5_DELAS
tr|A9BZF3|A9BZF3_DELAS	K01534
tr|A9BZR4|A9BZR4_DELAS
tr|A9BZS5|A9BZS5_DELAS	K14348
tr|A9BZT2|A9BZT2_DELAS	K17760
tr|A9C0X7|A9C0X7_DELAS	K03832
tr|A9C141|A9C141_DELAS
tr|A9C185|A9C185_DELAS	K07667
tr|A9C204|A9C204_DELAS	K03088
tr|A9C207|A9C207_DELAS
tr|A9C210|A9C210_DELAS	K00088
tr|A9C217|A9C217_DELAS
tr|A9C219|A9C219_DELAS
tr|A9C221|A9C221_DELAS
tr|A9C223|A9C223_DELAS	K10680
tr|A9C240|A9C240_DELAS
tr|A9C242|A9C242_DELAS
tr|A9C254|A9C254_DELAS	K00830
tr|A9C260|A9C260_DELAS
tr|A9C262|A9C262_DELAS	K06871
tr|A9C264|A9C264_DELAS
tr|A9C271|A9C271_DELAS
tr|A9C285|A9C285_DELAS	K03424
tr|A9C290|A9C290_DELAS
tr|A9C295|A9C295_DELAS
tr|A9C2A4|A9C2A4_DELAS
tr|A9C2A8|A9C2A8_DELAS	K03746
tr|A9C2B2|A9C2B2_DELAS
tr|A9C2B8|A9C2B8_DELAS
tr|A9C3K0|A9C3K0_DELAS
tr|A9BNF9|A9BNF9_DELAS	K02314
tr|A9BP20|A9BP20_DELAS
tr|A9BP29|A9BP29_DELAS
tr|A9BP43|A9BP43_DELAS	K03690
tr|A9BPA8|A9BPA8_DELAS	K00626
tr|A9BPF1|A9BPF1_DELAS	K03406
tr|A9BPL4|A9BPL4_DELAS	K01126
tr|A9BPY6|A9BPY6_DELAS
tr|A9BQ34|A9BQ34_DELAS	K02557
tr|A9BQ69|A9BQ69_DELAS	K02409
tr|A9BQ77|A9BQ77_DELAS	K02417
tr|A9BQC4|A9BQC4_DELAS	K03594
tr|A9BQF4|A9BQF4_DELAS
tr|A9BQG1|A9BQG1_DELAS	K01262
tr|A9BQH4|A9BQH4_DELAS	K00615
tr|A9BQL3|A9BQL3_DELAS
tr|A9BQR7|A9BQR7_DELAS	K18144
tr|A9BQU5|A9BQU5_DELAS	K01706
tr|A9BQZ2|A9BQZ2_DELAS
tr|A9BR36|A9BR36_DELAS
tr|A9BSL8|A9BSL8_DELAS
tr|A9BSW3|A9BSW3_DELAS
tr|A9BT44|A9BT44_DELAS
tr|A9BT67|A9BT67_DELAS	K03852
tr|A9BTA4|A9BTA4_DELAS
tr|A9BTD0|A9BTD0_DELAS	K09922
tr|A9BTD2|A9BTD2_DELAS
tr|A9BTF1|A9BTF1_DELAS
tr|A9BTR2|A9BTR2_DELAS	K09796
tr|A9BU50|A9BU50_DELAS
tr|A9BU76|A9BU76_DELAS
tr|A9BUE0|A9BUE0_DELAS	K00074
tr|A9BUJ6|A9BUJ6_DELAS	K03667
tr|A9BUN3|A9BUN3_DELAS
tr|A9BUT6|A9BUT6_DELAS	K15726
tr|A9BUY0|A9BUY0_DELAS	K07263
tr|A9BV44|A9BV44_DELAS	K12511
tr|A9BVI3|A9BVI3_DELAS	K05306
tr|A9BVI6|A9BVI6_DELAS
tr|A9BVJ9|A9BVJ9_DELAS	K03710
tr|A9BVU4|A9BVU4_DELAS
tr|A9BVY3|A9BVY3_DELAS
tr|A9BW51|A9BW51_DELAS
tr|A9BW53|A9BW53_DELAS
tr|A9BWA6|A9BWA6_DELAS	K00123
tr|A9BWD0|A9BWD0_DELAS
tr|A9BWE4|A9BWE4_DELAS
tr|A9BWH1|A9BWH1_DELAS
tr|A9BWL9|A9BWL9_DELAS
tr|A9BWP7|A9BWP7_DELAS	K07141
tr|A9BWQ6|A9BWQ6_DELAS	K07304
tr|A9BWT3|A9BWT3_DELAS	K00627
tr|A9BWV3|A9BWV3_DELAS
tr|A9BX12|A9BX12_DELAS
tr|A9BX28|A9BX28_DELAS
tr|A9BX67|A9BX67_DELAS
tr|A9BX92|A9BX92_DELAS	K02030
tr|A9BXQ5|A9BXQ5_DELAS	K02455
tr|A9BXU1|A9BXU1_DELAS
tr|A9BXW7|A9BXW7_DELAS
tr|A9BY00|A9BY00_DELAS	K00655
tr|A9BY18|A9BY18_DELAS	K02453
tr|A9BYC4|A9BYC4_DELAS
tr|A9BYD3|A9BYD3_DELAS
tr|A9BYI5|A9BYI5_DELAS
tr|A9BYL3|A9BYL3_DELAS	K07455
tr|A9BYU3|A9BYU3_DELAS
tr|A9BZ01|A9BZ01_DELAS	K07799
tr|A9BZ16|A9BZ16_DELAS	K06175
tr|A9BZ37|A9BZ37_DELAS	K19713
tr|A9BZE5|A9BZE5_DELAS
tr|A9BZF4|A9BZF4_DELAS
tr|A9C041|A9C041_DELAS
tr|A9C078|A9C078_DELAS
tr|A9C0C8|A9C0C8_DELAS	K15012
tr|A9C0H3|A9C0H3_DELAS
tr|A9C0P4|A9C0P4_DELAS	K01999
tr|A9C0Q7|A9C0Q7_DELAS
tr|A9C0S0|A9C0S0_DELAS
tr|A9C0W3|A9C0W3_DELAS	K00101
tr|A9C0X4|A9C0X4_DELAS	K01990
tr|A9C129|A9C129_DELAS	K07110
tr|A9C171|A9C171_DELAS
tr|A9C1B7|A9C1B7_DELAS	K03701
tr|A9C1C9|A9C1C9_DELAS	K01640
tr|A9C1F9|A9C1F9_DELAS	K01920
tr|A9C1M5|A9C1M5_DELAS	K02291
tr|A9C1Y7|A9C1Y7_DELAS
tr|A9C256|A9C256_DELAS
tr|A9C2A2|A9C2A2_DELAS
tr|A9C2C1|A9C2C1_DELAS
tr|A9C2C2|A9C2C2_DELAS
tr|A9C352|A9C352_DELAS	K06978
tr|A9C373|A9C373_DELAS	K01681
tr|A9C3B0|A9C3B0_DELAS
tr|A9C3F9|A9C3F9_DELAS	K02048
tr|A9C3K2|A9C3K2_DELAS
tr|A9BLE2|A9BLE2_DELAS	K03919
tr|A9BLI3|A9BLI3_DELAS	K11903
tr|A9BM53|A9BM53_DELAS	K00764
tr|A9BM68|A9BM68_DELAS
tr|A9BMA7|A9BMA7_DELAS
tr|A9BMK3|A9BMK3_DELAS	K01524
tr|A9BMN4|A9BMN4_DELAS
tr|A9BMR3|A9BMR3_DELAS
tr|A9BNC8|A9BNC8_DELAS
tr|A9BNV6|A9BNV6_DELAS	K11175
tr|A9BNW1|A9BNW1_DELAS
tr|A9BNW8|A9BNW8_DELAS	K01870
tr|A9BPF5|A9BPF5_DELAS	K06446
tr|A9BPW1|A9BPW1_DELAS	K20266
tr|A9BQ43|A9BQ43_DELAS
tr|A9BQ62|A9BQ62_DELAS	K02389
tr|A9BQA0|A9BQA0_DELAS	K02650
tr|A9BQA8|A9BQA8_DELAS
tr|A9BQG2|A9BQG2_DELAS
tr|A9BQL5|A9BQL5_DELAS	K10001
tr|A9BQX9|A9BQX9_DELAS
tr|A9BR72|A9BR72_DELAS	K08364
tr|A9BR84|A9BR84_DELAS
tr|A9BRD3|A9BRD3_DELAS
tr|A9BRM7|A9BRM7_DELAS
tr|A9BRN5|A9BRN5_DELAS
tr|A9BRR1|A9BRR1_DELAS
tr|A9BS24|A9BS24_DELAS
tr|A9BS93|A9BS93_DELAS	K07460
tr|A9BSA8|A9BSA8_DELAS
tr|A9BSG8|A9BSG8_DELAS
tr|A9BSI5|A9BSI5_DELAS	K01996
tr|A9BSU0|A9BSU0_DELAS	K09800
tr|A9BSV4|A9BSV4_DELAS
tr|A9BSY1|A9BSY1_DELAS
tr|A9BT62|A9BT62_DELAS
tr|A9BTB8|A9BTB8_DELAS
tr|A9BTE8|A9BTE8_DELAS
tr|A9BTK8|A9BTK8_DELAS	K17218
tr|A9BTN6|A9BTN6_DELAS	K07679
tr|A9BTX0|A9BTX0_DELAS
tr|A9BTY6|A9BTY6_DELAS
tr|A9BU21|A9BU21_DELAS
tr|A9BU27|A9BU27_DELAS
tr|A9BU34|A9BU34_DELAS	K07722
tr|A9BUW4|A9BUW4_DELAS
tr|A9BUX1|A9BUX1_DELAS
tr|A9BV40|A9BV40_DELAS	K00126
tr|A9BV81|A9BV81_DELAS
tr|A9BVA4|A9BVA4_DELAS
tr|A9BVD4|A9BVD4_DELAS	K03746
tr|A9BVF5|A9BVF5_DELAS
tr|A9BVH5|A9BVH5_DELAS
tr|A9BVT8|A9BVT8_DELAS
tr|A9BVW5|A9BVW5_DELAS	K11939
tr|A9BVX2|A9BVX2_DELAS
tr|A9BVY5|A9BVY5_DELAS
tr|A9BW52|A9BW52_DELAS
tr|A9BWS0|A9BWS0_DELAS
tr|A9BWT5|A9BWT5_DELAS
tr|A9BXG7|A9BXG7_DELAS	K02073
tr|A9BXH7|A9BXH7_DELAS
tr|A9BXQ3|A9BXQ3_DELAS
tr|A9BXR0|A9BXR0_DELAS	K06147
tr|A9BY53|A9BY53_DELAS
tr|A9BY92|A9BY92_DELAS
tr|A9BYI2|A9BYI2_DELAS
tr|A9BYM5|A9BYM5_DELAS
tr|A9BZK4|A9BZK4_DELAS
tr|A9C099|A9C099_DELAS	K02003
tr|A9C0M3|A9C0M3_DELAS
tr|A9C0W7|A9C0W7_DELAS
tr|A9C0Y1|A9C0Y1_DELAS
tr|A9C225|A9C225_DELAS
tr|A9C274|A9C274_DELAS
tr|A9C297|A9C297_DELAS
tr|A9C2A7|A9C2A7_DELAS	K03554
tr|A9C2J7|A9C2J7_DELAS
tr|A9C2R0|A9C2R0_DELAS	K01759
tr|A9C2S5|A9C2S5_DELAS	K02016
tr|A9C2Z7|A9C2Z7_DELAS
tr|A9C372|A9C372_DELAS
tr|A9C3I2|A9C3I2_DELAS
tr|A9BPN7|A9BPN7_DELAS	K02030
tr|A9BQZ3|A9BQZ3_DELAS	K04752
tr|A9BR50|A9BR50_DELAS
tr|A9BRN8|A9BRN8_DELAS	K01652
tr|A9BRU1|A9BRU1_DELAS
tr|A9BTV8|A9BTV8_DELAS
tr|A9BW91|A9BW91_DELAS	K07165
tr|A9BW94|A9BW94_DELAS	K07165
tr|A9BXD5|A9BXD5_DELAS	K05366
tr|A9BY50|A9BY50_DELAS
tr|A9BYC3|A9BYC3_DELAS
tr|A9BZ94|A9BZ94_DELAS	K07518
tr|A9BZE9|A9BZE9_DELAS
tr|A9C213|A9C213_DELAS
tr|A9C283|A9C283_DELAS	K02341
tr|A9C2N1|A9C2N1_DELAS
tr|A9C3E1|A9C3E1_DELAS	K03561
tr|A9BM94|A9BM94_DELAS	K01999
tr|A9BN80|A9BN80_DELAS
tr|A9BNU5|A9BNU5_DELAS
tr|A9BQ79|A9BQ79_DELAS	K02419
tr|A9BQJ7|A9BQJ7_DELAS
tr|A9BQQ3|A9BQQ3_DELAS
tr|A9BQS3|A9BQS3_DELAS
tr|A9BQU8|A9BQU8_DELAS	K01053
tr|A9BRA3|A9BRA3_DELAS
tr|A9BRJ7|A9BRJ7_DELAS
tr|A9BSG7|A9BSG7_DELAS	K02051
tr|A9BWJ0|A9BWJ0_DELAS
tr|A9C0U6|A9C0U6_DELAS
tr|A9C1G4|A9C1G4_DELAS	K03499
tr|A9C241|A9C241_DELAS
tr|A9C2L8|A9C2L8_DELAS
tr|A9BLG3|A9BLG3_DELAS	K11178
tr|A9BM46|A9BM46_DELAS	K04751
tr|A9BMC7|A9BMC7_DELAS	K09781
tr|A9BMH5|A9BMH5_DELAS	K03119
tr|A9BNA0|A9BNA0_DELAS
tr|A9BNI8|A9BNI8_DELAS
tr|A9BNM8|A9BNM8_DELAS	K00101
tr|A9BNN6|A9BNN6_DELAS
tr|A9BNP9|A9BNP9_DELAS
tr|A9BNR3|A9BNR3_DELAS	K07093
tr|A9BNZ7|A9BNZ7_DELAS
tr|A9BP50|A9BP50_DELAS	K05814
tr|A9BPC2|A9BPC2_DELAS
tr|A9BQI9|A9BQI9_DELAS	K00799
tr|A9BQJ3|A9BQJ3_DELAS
tr|A9BQP0|A9BQP0_DELAS
tr|A9BQW9|A9BQW9_DELAS	K01760
tr|A9BRA8|A9BRA8_DELAS	K03583
tr|A9BRA9|A9BRA9_DELAS	K03582
tr|A9BRH5|A9BRH5_DELAS
tr|A9BRL7|A9BRL7_DELAS
tr|A9BSL0|A9BSL0_DELAS
tr|A9BSP3|A9BSP3_DELAS
tr|A9BSW4|A9BSW4_DELAS
tr|A9BT23|A9BT23_DELAS
tr|A9BV23|A9BV23_DELAS
tr|A9BV62|A9BV62_DELAS
tr|A9BVE2|A9BVE2_DELAS
tr|A9BWG6|A9BWG6_DELAS
tr|A9BWX0|A9BWX0_DELAS
tr|A9BX38|A9BX38_DELAS
tr|A9BX84|A9BX84_DELAS	K07122
tr|A9BXM8|A9BXM8_DELAS	K19337
tr|A9BXP9|A9BXP9_DELAS	K02453
tr|A9BXY6|A9BXY6_DELAS	K00973
tr|A9BYC9|A9BYC9_DELAS	K06919
tr|A9BYD2|A9BYD2_DELAS
tr|A9BYS5|A9BYS5_DELAS
tr|A9BYU7|A9BYU7_DELAS	K03449
tr|A9BYX0|A9BYX0_DELAS
tr|A9BYY1|A9BYY1_DELAS	K02403
tr|A9BZC9|A9BZC9_DELAS
tr|A9BZS1|A9BZS1_DELAS
tr|A9BZZ9|A9BZZ9_DELAS
tr|A9C070|A9C070_DELAS
tr|A9C0H6|A9C0H6_DELAS
tr|A9C0M6|A9C0M6_DELAS
tr|A9C0Z6|A9C0Z6_DELAS	K01687
tr|A9C128|A9C128_DELAS
tr|A9C1D8|A9C1D8_DELAS	K01969
tr|A9C1V5|A9C1V5_DELAS
tr|A9C2M1|A9C2M1_DELAS	K16089
tr|A9C2Z4|A9C2Z4_DELAS
tr|A9C302|A9C302_DELAS
tr|A9C369|A9C369_DELAS	K07098
tr|A9C375|A9C375_DELAS
tr|A9C3C6|A9C3C6_DELAS
tr|A9BLX1|A9BLX1_DELAS
tr|A9BMA8|A9BMA8_DELAS	K20034
tr|A9BN25|A9BN25_DELAS
tr|A9BN28|A9BN28_DELAS
tr|A9BN56|A9BN56_DELAS	K01480
tr|A9BN79|A9BN79_DELAS
tr|A9BNS0|A9BNS0_DELAS
tr|A9BNV5|A9BNV5_DELAS
tr|A9BQD0|A9BQD0_DELAS	K03546
tr|A9BRI7|A9BRI7_DELAS
tr|A9BRQ7|A9BRQ7_DELAS
tr|A9BRY4|A9BRY4_DELAS
tr|A9BRY8|A9BRY8_DELAS	K01657
tr|A9BT53|A9BT53_DELAS
tr|A9BTH2|A9BTH2_DELAS
tr|A9BTI3|A9BTI3_DELAS	K03147
tr|A9BUN6|A9BUN6_DELAS	K00526
tr|A9BUS8|A9BUS8_DELAS
tr|A9BUW1|A9BUW1_DELAS	K02071
tr|A9BV75|A9BV75_DELAS
tr|A9BVL2|A9BVL2_DELAS	K01681
tr|A9BVU7|A9BVU7_DELAS
tr|A9BX94|A9BX94_DELAS
tr|A9BXK9|A9BXK9_DELAS
tr|A9BY40|A9BY40_DELAS
tr|A9BY69|A9BY69_DELAS	K00602
tr|A9BZ31|A9BZ31_DELAS	K15034
tr|A9BZ64|A9BZ64_DELAS
tr|A9BZD6|A9BZD6_DELAS
tr|A9BZX3|A9BZX3_DELAS	K00626
tr|A9C0A0|A9C0A0_DELAS	K10804
tr|A9C0L9|A9C0L9_DELAS	K02014
tr|A9C0Y2|A9C0Y2_DELAS	K07062
tr|A9C1E3|A9C1E3_DELAS
tr|A9C1K5|A9C1K5_DELAS
tr|A9BM30|A9BM30_DELAS	K06160
tr|A9BM45|A9BM45_DELAS	K03088
tr|A9BML7|A9BML7_DELAS	K03437
tr|A9BQS9|A9BQS9_DELAS
tr|A9BR13|A9BR13_DELAS
tr|A9BWC9|A9BWC9_DELAS
tr|A9BXE8|A9BXE8_DELAS	K10228
tr|A9BZK5|A9BZK5_DELAS	K01640
tr|A9C1V8|A9C1V8_DELAS	K01679
tr|A9C2B4|A9C2B4_DELAS
tr|A9C2L6|A9C2L6_DELAS	K07090
tr|A9BNT8|A9BNT8_DELAS	K01997
tr|A9BP25|A9BP25_DELAS	K02035
tr|A9BP94|A9BP94_DELAS
tr|A9BPY0|A9BPY0_DELAS
tr|A9BRR7|A9BRR7_DELAS	K07566
tr|A9BST1|A9BST1_DELAS	K01738
tr|A9BT36|A9BT36_DELAS
tr|A9BT51|A9BT51_DELAS
tr|A9BTZ1|A9BTZ1_DELAS
tr|A9BUP4|A9BUP4_DELAS
tr|A9BUT0|A9BUT0_DELAS
tr|A9BVK8|A9BVK8_DELAS
tr|A9BVQ7|A9BVQ7_DELAS	K01420
tr|A9BX58|A9BX58_DELAS	K00097
tr|A9BXU8|A9BXU8_DELAS	K02230
tr|A9BXZ1|A9BXZ1_DELAS	K02012
tr|A9BY10|A9BY10_DELAS	K02456
tr|A9BY59|A9BY59_DELAS
tr|A9BYT6|A9BYT6_DELAS
tr|A9BZU1|A9BZU1_DELAS
tr|A9C065|A9C065_DELAS	K13643
tr|A9C0P2|A9C0P2_DELAS	K01998
tr|A9C0U5|A9C0U5_DELAS
tr|A9C0V2|A9C0V2_DELAS	K03322
tr|A9C0Z0|A9C0Z0_DELAS
tr|A9C143|A9C143_DELAS
tr|A9C162|A9C162_DELAS	K02014
tr|A9BLR0|A9BLR0_DELAS
tr|A9BMM0|A9BMM0_DELAS	K00677
tr|A9BMN5|A9BMN5_DELAS	K12573
tr|A9BNX6|A9BNX6_DELAS
tr|A9BPU9|A9BPU9_DELAS
tr|A9BRJ5|A9BRJ5_DELAS
tr|A9BRT5|A9BRT5_DELAS	K02015
tr|A9BRU7|A9BRU7_DELAS
tr|A9BS95|A9BS95_DELAS
tr|A9BSW1|A9BSW1_DELAS
tr|A9BUT8|A9BUT8_DELAS
tr|A9BV14|A9BV14_DELAS	K01737
tr|A9BV52|A9BV52_DELAS	K02651
tr|A9BV83|A9BV83_DELAS
tr|A9BV85|A9BV85_DELAS	K06016
tr|A9BVD6|A9BVD6_DELAS
tr|A9BVQ5|A9BVQ5_DELAS	K09926
tr|A9BW15|A9BW15_DELAS
tr|A9BXS0|A9BXS0_DELAS
tr|A9BXT1|A9BXT1_DELAS	K01304
tr|A9BXZ6|A9BXZ6_DELAS
tr|A9BYL2|A9BYL2_DELAS
tr|A9BYL5|A9BYL5_DELAS
tr|A9BYQ9|A9BYQ9_DELAS
tr|A9BYY6|A9BYY6_DELAS	K00795
tr|A9C151|A9C151_DELAS
tr|A9C2X1|A9C2X1_DELAS
tr|A9C374|A9C374_DELAS
tr|A9C3M0|A9C3M0_DELAS
tr|A9BLE4|A9BLE4_DELAS
tr|A9BLL5|A9BLL5_DELAS
tr|A9BM54|A9BM54_DELAS	K03558
tr|A9BNA3|A9BNA3_DELAS	K00341
tr|A9BPX5|A9BPX5_DELAS
tr|A9BQ72|A9BQ72_DELAS	K02412
tr|A9BR01|A9BR01_DELAS
tr|A9BR76|A9BR76_DELAS
tr|A9BR86|A9BR86_DELAS
tr|A9BRZ9|A9BRZ9_DELAS
tr|A9BS55|A9BS55_DELAS	K03701
tr|A9BTX8|A9BTX8_DELAS	K07649
tr|A9BU56|A9BU56_DELAS
tr|A9BUR6|A9BUR6_DELAS
tr|A9BUZ4|A9BUZ4_DELAS
tr|A9BV32|A9BV32_DELAS	K18029
tr|A9BV56|A9BV56_DELAS
tr|A9BV63|A9BV63_DELAS	K02055
tr|A9BVB2|A9BVB2_DELAS	K02057
tr|A9BW18|A9BW18_DELAS
tr|A9BWL8|A9BWL8_DELAS	K09758
tr|A9BWN1|A9BWN1_DELAS
tr|A9BWW9|A9BWW9_DELAS	K09936
tr|A9BX04|A9BX04_DELAS	K00481
tr|A9BX52|A9BX52_DELAS
tr|A9BX62|A9BX62_DELAS
tr|A9BXW9|A9BXW9_DELAS	K06920
tr|A9BY51|A9BY51_DELAS
tr|A9BYA1|A9BYA1_DELAS
tr|A9BYJ7|A9BYJ7_DELAS
tr|A9BYV1|A9BYV1_DELAS
tr|A9C2Z3|A9C2Z3_DELAS
tr|A9C341|A9C341_DELAS
tr|A9C363|A9C363_DELAS	K00666
tr|A9C3G3|A9C3G3_DELAS	K02014
tr|A9BMP2|A9BMP2_DELAS
tr|A9BMT6|A9BMT6_DELAS	K01915
tr|A9BND5|A9BND5_DELAS	K05541
tr|A9BNK5|A9BNK5_DELAS	K00645
tr|A9BNX8|A9BNX8_DELAS
tr|A9BPI5|A9BPI5_DELAS
tr|A9BQ25|A9BQ25_DELAS
tr|A9BQB3|A9BQB3_DELAS	K07649
tr|A9BQE4|A9BQE4_DELAS	K06911
tr|A9BQS6|A9BQS6_DELAS
tr|A9BRD5|A9BRD5_DELAS
tr|A9BSL6|A9BSL6_DELAS
tr|A9BTC9|A9BTC9_DELAS
tr|A9BTF3|A9BTF3_DELAS
tr|A9BTH4|A9BTH4_DELAS
tr|A9BTL1|A9BTL1_DELAS
tr|A9BTX3|A9BTX3_DELAS	K08738
tr|A9BUC9|A9BUC9_DELAS
tr|A9BUT5|A9BUT5_DELAS	K15727
